UID,COLLECTED_AT,AGE,GENDER,PHONE_MODELS,WEARABLE_MODELS
P086,202112141257,49,M,['SM-G991N'],"['Galaxy Watch4 Classic', 'Galaxy Watch']"
P087,202112141427,30,F,['SM-G973N'],['Galaxy Watch4']
P088,202112152325,25,M,['SM-G991N'],['Galaxy Watch4']
P090,202112161055,34,M,['SM-G998N'],['Galaxy Watch4']
P091,202112161215,33,M,['SM-G998N'],['Galaxy Watch4 Classic']
P092,202112161257,28,M,['SM-F700N'],['Galaxy Fit2']
P093,202112161508,21,M,['SM-G970N'],"['Galaxy Fit2', 'Galaxy Watch4']"
P094,202112161554,22,M,['SM-N971N'],['Galaxy Watch Active2']
P097,202112171045,35,F,['SM-F926N'],['Galaxy Watch Active2']
P098,202112191232,24,M,['SM-F711N'],['Galaxy Watch4']
P099,202112220008,20,M,['SM-N986N'],['Galaxy Watch4']
P100,202204250917,22,F,['SM-N950N'],['Galaxy Watch4']
P101,202204251053,37,F,['SM-N960N'],['Galaxy Watch4']
P102,202204251112,19,M,['SM-F926N'],['Galaxy Watch4 Classic']
P104,202204272124,31,F,['SM-N970U1'],['Galaxy Watch4']
P105,202204281301,20,F,['SM-G970N'],['Galaxy Watch4']
P106,202204281413,23,F,['SM-N986N'],['Galaxy Watch4']
P107,202204281557,25,F,['SM-G986N'],['Galaxy Watch4']
P108,202204290717,21,F,['SM-N960N'],['Galaxy Watch4']
P109,202205031643,30,F,['SM-G960N'],['Galaxy Watch3']
P110,202205091611,38,M,['SM-N981N'],['Galaxy Watch3']
P111,202205091657,33,F,['SM-N981N'],['Galaxy Watch4']
P112,202205091711,27,F,['SM-N981N'],['Galaxy Watch4']
P113,202205092106,26,F,['SM-G977N'],['Galaxy Watch4']
P114,202205092243,26,F,['SM-S901N'],['Galaxy Watch4']
P115,202205101410,25,F,['SM-G991N'],['Galaxy Watch4']
P116,202205231424,31,F,['SM-F711N'],['Galaxy Watch4 Classic']
P118,202205231549,36,F,['SM-N971N'],['Galaxy Watch Active2']
P119,202205231618,23,F,['SM-G991N'],['Galaxy Watch3']
P120,202205232226,32,F,['SM-G973N'],['Galaxy Watch3']
P121,202205240942,28,F,['SM-N960N'],"['Galaxy Watch Active2', 'Galaxy Watch4']"
P122,202205241710,33,M,['SM-G991N'],['Galaxy Watch4']
P124,202206211322,33,F,['SM-F711N'],['Galaxy Watch4']
P125,202206231540,22,F,['SM-G991N'],['Galaxy Watch4']
P126,202206240054,24,F,"['SM-S901N', 'SM-G975N']",['Galaxy Watch4']
P127,202207081612,32,F,['SM-N986N'],['Galaxy Watch3']
